0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
Affinity,Death's Shadow,37.4,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Death's Shadow"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Death's Shadow"", ""value"":0.0},"
Affinity,Delver (Other),39.5,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Delver (Other)"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Delver (Other)"", ""value"":0.0},"
Affinity,Doomsday,35.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Doomsday"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Doomsday"", ""value"":0.0},"
Affinity,Dragon Stompy,30.166666667,4.0,0.11707317073056514,"{""source"": ""Affinity"", ""target"": ""Dragon Stompy"", ""value"":0.11707317073056514},","{""source"": ""Affinity"", ""target"": ""Dragon Stompy"", ""value"":0.34215956910565154},"
Affinity,Dredge,26.5,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Dredge"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Dredge"", ""value"":0.0},"
Affinity,Eldrazi Aggro,34.8,5.4,0.13432835820895522,"{""source"": ""Affinity"", ""target"": ""Eldrazi Aggro"", ""value"":0.13432835820895522},","{""source"": ""Affinity"", ""target"": ""Eldrazi Aggro"", ""value"":0.36650833306891567},"
Affinity,Elves,40.00000000200001,0.333333333,0.008264462801311385,"{""source"": ""Affinity"", ""target"": ""Elves"", ""value"":0.008264462801311385},","{""source"": ""Affinity"", ""target"": ""Elves"", ""value"":0.09090909086175808},"
Affinity,Food Chain,40.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Food Chain"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Food Chain"", ""value"":0.0},"
Affinity,Goblins,42.0,0.5,0.011764705882352941,"{""source"": ""Affinity"", ""target"": ""Goblins"", ""value"":0.011764705882352941},","{""source"": ""Affinity"", ""target"": ""Goblins"", ""value"":0.10846522890932808},"
Affinity,Grixis Control,40.125,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Grixis Control"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Grixis Control"", ""value"":0.0},"
Affinity,Grixis Delver,38.5,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Grixis Delver"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Grixis Delver"", ""value"":0.0},"
Affinity,Humans,39.0,1.0,0.025,"{""source"": ""Affinity"", ""target"": ""Humans"", ""value"":0.025},","{""source"": ""Affinity"", ""target"": ""Humans"", ""value"":0.15811388300841897},"
Affinity,Infect,38.5,0.5,0.01282051282051282,"{""source"": ""Affinity"", ""target"": ""Infect"", ""value"":0.01282051282051282},","{""source"": ""Affinity"", ""target"": ""Infect"", ""value"":0.11322770341445958},"
Affinity,Junk,40.0,1.0,0.024390243902439025,"{""source"": ""Affinity"", ""target"": ""Junk"", ""value"":0.024390243902439025},","{""source"": ""Affinity"", ""target"": ""Junk"", ""value"":0.15617376188860607},"
Affinity,Lands,52.571428571,1.5714285710000002,0.029023746694390878,"{""source"": ""Affinity"", ""target"": ""Lands"", ""value"":0.029023746694390878},","{""source"": ""Affinity"", ""target"": ""Lands"", ""value"":0.17036357208743563},"
Affinity,Legacy Landstill,34.0,4.0,0.10526315789473684,"{""source"": ""Affinity"", ""target"": ""Legacy Landstill"", ""value"":0.10526315789473684},","{""source"": ""Affinity"", ""target"": ""Legacy Landstill"", ""value"":0.3244428422615251},"
Affinity,LOAM,44.66666666700001,1.0,0.021897810218818262,"{""source"": ""Affinity"", ""target"": ""LOAM"", ""value"":0.021897810218818262},","{""source"": ""Affinity"", ""target"": ""LOAM"", ""value"":0.14797908709955696},"
Affinity,Maverick,40.666666664999994,1.0,0.02400000000096,"{""source"": ""Affinity"", ""target"": ""Maverick"", ""value"":0.02400000000096},","{""source"": ""Affinity"", ""target"": ""Maverick"", ""value"":0.15491933385139506},"
Affinity,Merfolk,40.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Merfolk"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Merfolk"", ""value"":0.0},"
Affinity,MUD,29.5,7.0,0.1917808219178082,"{""source"": ""Affinity"", ""target"": ""MUD"", ""value"":0.1917808219178082},","{""source"": ""Affinity"", ""target"": ""MUD"", ""value"":0.4379278729628981},"
Affinity,Nic Fit,42.999999998999996,1.0,0.02272727272778926,"{""source"": ""Affinity"", ""target"": ""Nic Fit"", ""value"":0.02272727272778926},","{""source"": ""Affinity"", ""target"": ""Nic Fit"", ""value"":0.15075567229059494},"
Affinity,Painter,27.0,7.0,0.20588235294117646,"{""source"": ""Affinity"", ""target"": ""Painter"", ""value"":0.20588235294117646},","{""source"": ""Affinity"", ""target"": ""Painter"", ""value"":0.45374260648651504},"
Affinity,Pikula,39.5,1.0,0.024691358024691357,"{""source"": ""Affinity"", ""target"": ""Pikula"", ""value"":0.024691358024691357},","{""source"": ""Affinity"", ""target"": ""Pikula"", ""value"":0.15713484026367722},"
Affinity,Reanimator,35.16666666900001,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Reanimator"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Reanimator"", ""value"":0.0},"
Affinity,Slivers,39.0,1.0,0.025,"{""source"": ""Affinity"", ""target"": ""Slivers"", ""value"":0.025},","{""source"": ""Affinity"", ""target"": ""Slivers"", ""value"":0.15811388300841897},"
Affinity,Sneak & Show,34.538461539,2.923076923,0.07802874743025018,"{""source"": ""Affinity"", ""target"": ""Sneak & Show"", ""value"":0.07802874743025018},","{""source"": ""Affinity"", ""target"": ""Sneak & Show"", ""value"":0.2793362622901835},"
Affinity,Stoneblade,39.50000000000001,0.5,0.0125,"{""source"": ""Affinity"", ""target"": ""Stoneblade"", ""value"":0.0125},","{""source"": ""Affinity"", ""target"": ""Stoneblade"", ""value"":0.11180339887498948},"
Affinity,Storm,34.666666666,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Storm"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Storm"", ""value"":0.0},"
Affinity,UR Delver,38.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""UR Delver"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""UR Delver"", ""value"":0.0},"
Affinity,UWx Control,39.5,0.1875,0.004724409448818898,"{""source"": ""Affinity"", ""target"": ""UWx Control"", ""value"":0.004724409448818898},","{""source"": ""Affinity"", ""target"": ""UWx Control"", ""value"":0.06873433966234707},"
Affinity,Zombie Bombardment,40.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Zombie Bombardment"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Zombie Bombardment"", ""value"":0.0},"
Antiquities War,Arclight Phoenix,34.8,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Arclight Phoenix"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Arclight Phoenix"", ""value"":0.0},"
Antiquities War,Belcher,21.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Belcher"", ""value"":0.0},"
Antiquities War,Bomberman,31.0,4.0,0.11428571428571428,"{""source"": ""Antiquities War"", ""target"": ""Bomberman"", ""value"":0.11428571428571428},","{""source"": ""Antiquities War"", ""target"": ""Bomberman"", ""value"":0.3380617018914066},"
Antiquities War,BUG Midrange,41.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""BUG Midrange"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""BUG Midrange"", ""value"":0.0},"
Antiquities War,Burn,38.5,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Burn"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Burn"", ""value"":0.0},"
Antiquities War,Canadian Threshold,38.75,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Canadian Threshold"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Canadian Threshold"", ""value"":0.0},"
Antiquities War,Cloudpost Ramp,42.333333333,2.333333333,0.05223880596346626,"{""source"": ""Antiquities War"", ""target"": ""Cloudpost Ramp"", ""value"":0.05223880596346626},","{""source"": ""Antiquities War"", ""target"": ""Cloudpost Ramp"", ""value"":0.2285581019422988},"
Antiquities War,Dark Depths,46.888888890000004,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Dark Depths"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Dark Depths"", ""value"":0.0},"
Antiquities War,Death and taxes,42.9,0.2,0.0046403712296983765,"{""source"": ""Antiquities War"", ""target"": ""Death and taxes"", ""value"":0.0046403712296983765},","{""source"": ""Antiquities War"", ""target"": ""Death and taxes"", ""value"":0.06812027032901717},"
Antiquities War,Death's Shadow,37.4,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Death's Shadow"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Death's Shadow"", ""value"":0.0},"
Antiquities War,Delver (Other),39.5,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Delver (Other)"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Delver (Other)"", ""value"":0.0},"
Antiquities War,Doomsday,35.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Doomsday"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Doomsday"", ""value"":0.0},"
Antiquities War,Dragon Stompy,30.166666667,4.0,0.11707317073056514,"{""source"": ""Antiquities War"", ""target"": ""Dragon Stompy"", ""value"":0.11707317073056514},","{""source"": ""Antiquities War"", ""target"": ""Dragon Stompy"", ""value"":0.34215956910565154},"
Antiquities War,Dredge,26.5,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Dredge"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Dredge"", ""value"":0.0},"
Antiquities War,Eldrazi Aggro,37.599999999999994,4.0,0.09615384615384615,"{""source"": ""Antiquities War"", ""target"": ""Eldrazi Aggro"", ""value"":0.09615384615384615},","{""source"": ""Antiquities War"", ""target"": ""Eldrazi Aggro"", ""value"":0.3100868364730211},"
Antiquities War,Elves,40.666666668000005,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Elves"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Elves"", ""value"":0.0},"
Antiquities War,Food Chain,40.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Food Chain"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Food Chain"", ""value"":0.0},"
Antiquities War,Goblins,43.0,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Goblins"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Goblins"", ""value"":0.0},"
Antiquities War,Grixis Control,40.125,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Grixis Control"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Grixis Control"", ""value"":0.0},"
Antiquities War,Grixis Delver,38.5,0.0,0.0,"{""source"": ""Antiquities War"", ""target"": ""Grixis Delver"", ""value"":0.0},","{""source"": ""Antiquities War"", ""target"": ""Grixis Delver"", ""value"":0.0},"
